Année publication;;Code département;Nombre de logements;Taux de logements sociaux* (en %);Taux de logements vacants* (en %)
2021;;971;229421;21.53016027;15.24314298
2021;;69;926575;21.17773255;7.337240478
2021;;50;298631;16.51812764;8.369987185
2021;;37;325171;17.98995741;8.644028521
2021;;974;376047;23.22986834;8.706585291
2021;;16;198241;9.763499372;10.59128783
2021;;10;165501;22.67918048;9.519184747
2021;;24;260245;7.277342005;10.3102484
2021;;89;197683;13.58227599;11.79174592
2021;;31;728248;14.24492415;7.262737739
2021;;5;136581;12.00091136;5.83629262
2021;;87;220762;14.37094725;9.679450134
2021;;48;61340;8.220829836;10.43772571
2021;;79;195050;9.326515479;9.127364362
2021;;93;679663;36.55172264;5.906682372
2021;;4;129062;9.66068865;8.349224392
2021;;972;213707;20.31135561;15.43069426
2021;;21;290523;14.80710445;8.439102437
2021;;76;645785;25.9709166;8.086226853
2021;;19;154656;8.608516929;11.05178702
2021;;32;111171;6.491954277;10.57290433
2021;;81;212905;8.665243405;9.169885418
2021;;35;554254;15.39698827;6.693305587
2021;;70;128333;10.57335365;10.78263432
2021;;49;397886;18.53851655;6.810587697
2021;;11;263889;10.25966087;8.540245321
2021;;71;311498;16.6549607;10.30037571
2021;;78;643946;21.66630916;6.342942213
2021;;65;162729;11.55422928;9.536909621
2021;;36;138879;16.58857541;13.3314328
2021;;42;399133;17.56860806;10.35411307
2021;;28;216684;17.46108927;8.628327167
2021;;33;872327;14.40537145;6.222187736
2021;;973;91566;23.63217039;9.985090285
2021;;55;99893;12.17829156;12.09737229
2021;;40;259512;7.212653547;6.641283517
2021;;52;100617;19.61250311;11.70041428
2021;;64;409790;11.47280357;8.137531874
2021;;18;179125;14.696875;12.92724698
2021;;75;1386846;20.42468269;8.484438598
2021;;34;729652;12.05375824;7.315635832
2021;;73;349226;17.54783813;6.032661523
2021;;3;208375;12.53946948;14.62894722
2021;;86;241950;12.51905783;9.617560485
2021;;41;184614;14.33389834;10.84752869
2021;;94;640016;30.04502192;5.659671361
2021;;27;297286;16.71507012;8.278638988
2021;;95;510302;26.56975654;5.916239135
2021;;74;517217;13.60733904;6.221120212
2021;;15;101693;8.999956001;11.93898109
2021;;83;722127;10.52190098;6.135267659
2021;;61;165463;16.26568493;11.24865071
2021;;7;204906;9.220931224;9.734526097
2021;;77;619783;19.17480712;6.774690619
2021;;30;428087;12.41196841;8.410308065
2021;;80;301740;16.65805884;8.400241967
2021;;38;653289;16.4417855;7.702555331
2021;;12;182027;6.600812301;10.83432142
