Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2021;971;379707;233.0;-5.862825551;4.333155657;-10.19598121;24.0;27.0;19.4;
2021;69;1882578;579.0;9.123759475;7.824762329;1.298997146;25.0;22.0;7.3;14.2
2021;50;492896;83.0;-1.173139889;-1.462865942;0.289726053;21.0;32.0;5.8;12.0
2021;37;608781;99.0;3.093232179;1.759989162;1.333243017;23.0;28.0;6.9;13.0
2021;974;856858;342.0;4.350314686;11.40821983;-7.057905146;29.0;18.0;17.4;38.9
2021;16;349878;58.0;-0.48325118;-2.115041655;1.631790475;20.0;33.0;7.5;15.0
2021;10;310161;51.0;2.253014074;1.026944519;1.226069555;24.0;28.0;10.0;16.2
2021;24;411528;45.0;-0.632864018;-4.925763433;4.292899415;18.0;37.0;7.9;16.3
2021;89;334626;45.0;-2.301830603;-1.570757058;-0.731073545;22.0;32.0;6.9;14.5
2021;31;1409629;223.0;13.34693855;5.667069516;7.67986903;24.0;22.0;8.2;13.3
2021;5;140349;25.0;2.466215476;-0.118273211;2.584488687;21.0;32.0;7.5;13.9
2021;87;371228;67.0;-1.319276644;-1.219859061;-0.099417583;21.0;32.0;7.2;15.5
2021;48;76573;14.0;-0.660335746;-4.0489349;3.388599154;20.0;33.0;4.7;14.5
2021;79;374608;62.0;1.445554743;-0.470387521;1.915942264;22.0;30.0;5.6;12.3
2021;93;1657893;7024.0;8.925145593;13.26410205;-4.338956459;29.0;16.0;11.1;28.4
2021;4;165232;23.0;3.173919288;-1.867011346;5.040930633;20.0;34.0;9.0;16.8
2021;972;359821;318.0;-8.714955109;2.561819303;-11.27677441;21.0;30.0;14.9;29.8
2021;21;532576;60.0;1.567249856;1.626179061;-0.058929205;22.0;27.0;6.0;11.2
2021;76;1252833;199.0;0.193696313;2.751335361;-2.557639048;24.0;26.0;8.8;14.9
2021;19;239470;40.0;-1.675624407;-4.569063564;2.893439156;20.0;35.0;6.4;13.1
2021;32;191322;30.0;1.68102509;-4.246940088;5.927965178;19.0;35.0;6.1;14.9
2021;81;389012;67.0;3.631796131;-1.384733829;5.01652996;21.0;32.0;8.0;15.6
2021;35;1085753;160.0;9.878458518;4.266804299;5.611654219;25.0;23.0;6.3;10.5
2021;70;234567;43.0;-2.079332743;-0.074306611;-2.005026133;22.0;30.0;6.8;13.2
2021;49;818345;114.0;4.273008754;3.518431213;0.754577541;25.0;26.0;7.2;11.4
2021;11;376059;61.0;5.496160935;-1.901157751;7.397318686;21.0;33.0;10.4;20.7
2021;71;549364;64.0;-1.133600762;-1.736664129;0.603063368;21.0;33.0;6.7;13.1
2021;78;1449520;634.0;2.892959436;7.451846121;-4.558886684;26.0;22.0;6.7;9.7
2021;65;229205;51.0;-0.11025983;-3.336122515;3.225862685;19.0;34.0;8.8;15.4
2021;36;218129;32.0;-5.643751947;-4.672197806;-0.971554141;19.0;36.0;7.5;14.5
2021;42;765546;160.0;2.216311702;2.021905422;0.19440628;24.0;28.0;7.8;15.0
2021;28;429641;73.0;0.165060744;2.830745128;-2.665684384;24.0;27.0;7.2;12.0
2021;33;1636085;152.0;12.89223009;2.955262913;9.936967179;23.0;25.0;7.5;12.6
2021;973;288086;3.0;25.77977646;26.98262312;-1.202846664;41.0;9.0;17.8;
2021;55;181387;29.0;-6.464421446;-0.640460389;-5.823961057;22.0;30.0;7.3;14.5
2021;40;414728;44.0;7.912156536;-1.533878018;9.446034555;20.0;32.0;7.6;11.8
2021;52;170339;27.0;-7.444074354;-1.822983172;-5.621091182;20.0;32.0;6.7;14.9
2021;64;685441;89.0;4.885274248;-1.031039838;5.916314086;21.0;31.0;6.6;12.3
2021;18;299153;41.0;-3.888747884;-2.30067115;-1.588076734;20.0;33.0;7.7;14.3
2021;75;2154092;20515.0;-3.99945094;6.60681967;-10.60627061;18.0;22.0;6.8;15.2
2021;34;1184031;194.0;13.35234616;2.591909688;10.76043647;22.0;27.0;11.0;19.7
2021;73;436834;72.0;5.271605147;2.679300847;2.5923043;22.0;27.0;6.6;10.0
2021;3;333847;45.0;-2.642399711;-3.73044665;1.08804694;20.0;35.0;8.4;15.5
2021;86;438390;62.0;2.621063547;0.773889085;1.847174462;23.0;28.0;6.3;14.3
2021;41;327835;51.0;-0.679837251;-0.875850933;0.196013682;22.0;32.0;6.2;12.6
2021;94;1411786;5762.0;6.33064504;9.418617613;-3.087972573;25.0;20.0;7.8;16.6
2021;27;596993;98.0;1.781625559;3.05348457;-1.271859011;25.0;26.0;8.0;12.5
2021;95;1253568;1006.0;7.036351108;10.61596143;-3.579610318;28.0;19.0;8.9;17.2
2021;74;831867;189.0;12.70566653;6.114988999;6.590677534;24.0;22.0;6.6;8.9
2021;15;143821;25.0;-2.929901054;-5.836854254;2.9069532;18.0;36.0;4.5;13.0
2021;83;1079043;180.0;7.0284859;-0.425121233;7.453607133;20.0;33.0;8.2;15.6
2021;61;277400;45.0;-4.883384423;-1.968509337;-2.914875087;21.0;34.0;7.3;15.4
2021;7;327740;59.0;4.014725951;-1.302802374;5.317528325;21.0;32.0;8.4;14.4
2021;77;1426334;241.0;7.658818068;7.833703811;-0.174885743;27.0;20.0;7.3;11.8
2021;30;749136;127.0;5.556714105;1.392701141;4.164012963;22.0;30.0;10.6;19.8
2021;80;568750;92.0;-0.348844747;1.321965655;-1.670810403;24.0;26.0;9.1;16.4
2021;38;1269323;170.0;5.218033545;5.135554977;0.082478568;25.0;24.0;6.6;11.3
2021;12;279334;31.0;0.913639566;-3.531005582;4.444645147;20.0;35.0;6.0;14.0
2021;68;765130;217.0;2.046994993;2.707853749;-0.660858756;23.0;27.0;8.0;12.9
2021;66;478983;116.0;6.786417356;-1.606534936;8.392952292;21.0;33.0;12.2;21.0
2021;57;1041009;167.0;-0.388205147;1.363358869;-1.751564016;22.0;27.0;7.7;15.3
